Video Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,"According to the WWF report, by how much has global wildlife decreased in less than half a century?",About 40%,About 60%,About 75%,About 90%,About 60%
1,"Over how many years has the elephant population decreased by one-fifth, according to the report?",5 years,10 years,15 years,20 years,10 years
1,What fraction of sharks and rays are threatened by overfishing?,One-fourth,One-third,Half,Two-thirds,One-third
2,Which company has opened this new type of store without checkout counters?,Walmart,Target,Amazon,Costco,Amazon
2,"What do customers use to 'check in' when entering the store?",Fingerprint recognition,Facial recognition,Smartphone app,Membership card,Smartphone app
2,What is the main feature of this store?,All organic products,No checkout counters,24-hour operation,Robot staff for customer service,No checkout counters
3,Where did this mushroom cloud appear?,Eastern Siberia,Western Siberia,Northern Siberia,Southern Siberia,Western Siberia
3,What did many people fear when they called emergency services?,Forest fire,Meteor strike,Nuclear attack,Volcanic eruption,Nuclear attack
3,What was the actual cause of this cloud formation?,Factory emissions,"Thunderstorm causing clouds to be blown sideways",Military exercise,Meteor impact,"Thunderstorm causing clouds to be blown sideways"
4,"According to UNICEF, how many children under the age of five die every year from pollution-related illnesses?",About 200000,About 400000,About 600000,About 800000,About 600000
4,How many children live in areas where pollution levels exceed WHO guidelines?,About 500 million,About 1 billion,About 1.5 billion,About 2 billion,About 2 billion
4,What is mentioned as a main cause of indoor air pollution?,Keeping pets,Using wood and coal for cooking and heating,Using plastic products,Using pesticides,Using wood and coal for cooking and heating
5,After which president's election did the demand for contraceptives increase?,Barack Obama,Donald Trump,Joe Biden,George W. Bush,Donald Trump
5,What type of contraceptive saw a particularly high increase in demand?,Pills,Condoms,Long-acting contraceptives (such as IUDs),Contraceptive patches,Long-acting contraceptives (such as IUDs)
5,How were contraceptives provided under Obamacare?,Fully paid by patients,Partially paid by patients,Without co-payment,Depending on the type of insurance,Without co-payment
6,What is the name of the event held by LinkedIn?,Bring Your Kids to Work Day,Bring Your Parents Day,Family Office Day,LinkedIn Family Event,Bring Your Parents Day
6,"According to LinkedIn, what fraction of parents cannot describe their children's jobs?",One-fourth,One-third,Half,Two-thirds,One-third
6,What generational change is mentioned as the background for this event?,Decreased independence of children,Weakening of parent-child relationships,Diversification and flexibility of jobs,Deterioration of workplace environments,Diversification and flexibility of jobs
