"ニュース番号", "クイズ番号", "質問", "選択肢1", "選択肢2", "選択肢3", "選択肢4", "正解選択肢"
1, 1, "世界の野生動物が60%減少した原因のひとつは？", "自然災害", "ハンティング", "生息地の喪失", "病気", "生息地の喪失"
1, 2, "どの組織がこの報告書を発表しましたか？", "国連", "グリーンピース", "世界自然保護基金", "世界銀行", "世界自然保護基金"
1, 3, "サメとエイの3分の1が脅威にさらされているとされているのは何が原因ですか？", "温暖化", "大気汚染", "過剰漁業", "海洋ごみ", "過剰漁業"
2, 1, "この無人レジ店舗はどの企業によって展開されていますか？", "ウォルマート", "アマゾン", "コストコ", "ターゲット", "アマゾン"
2, 2, "顧客はどのようにして店舗内に入りますか？", "メンバーシップカードを提示する", "写真IDを提示する", "スマートフォンのアプリを使用する", "店員に話しかける", "スマートフォンのアプリを使用する"
2, 3, "店内で買い物を終えた後、顧客はどうしますか？", "レジで支払いをする", "自動販売機で支払いをする", "何もせずにそのまま歩き去る", "レジ袋を自分で詰める", "何もせずにそのまま歩き去る"
3, 1, "シベリアで見られたきのこ雲は何によって引き起こされましたか？", "火山の噴火", "竜巻", "落雷による嵐", "森林火災", "落雷による嵐"
3, 2, "多くの人々は、この現象を何と誤解しましたか？", "エイリアンの侵略", "隕石の衝突", "核攻撃", "気象兵器の使用", "核攻撃"
3, 3, "この雲の形成はどの地域で起こりましたか？", "東シベリア", "西シベリア", "北シベリア", "南シベリア", "西シベリア"
4, 1, "毎年、大気汚染に関連する病気で死亡する5歳未満の子供の数は？", "50万", "60万", "70万", "80万", "60万"
4, 2, "汚染が脳の発達にどのように影響しますか？", "知覚機能を向上させる", "永続的な損傷を引き起こす", "記憶力を強化する", "創造性を向上させる", "永続的な損傷を引き起こす"
4, 3, "どのくらいの子供がWHOのガイドラインを超える汚染レベルの場所に住んでいますか？", "1億", "10億", "20億", "30億", "20億"
5, 1, "トランプ選挙後、女性の懸念が高まった主な理由は何ですか？", "教育", "運動", "避妊", "移民", "避妊"
5, 2, "どの組織が避妊具の需要増加を報告しましたか？", "CDC", "ウォールマート", "計画出産連盟", "アメリカ医師会", "計画出産連盟"
5, 3, "女性が特に求めている避妊具タイプは何ですか？", "コンドーム", "ピル", "長期作用型避妊具", "子宮内避妊器具", "長期作用型避妊具"
6, 1, "どのソーシャルメディアプラットフォームが「親の職場訪問日」を開催しましたか？", "フェイスブック", "ツイッター", "リンクトイン", "インスタグラム", "リンクトイン"
6, 2, "親が子供の仕事を理解できない割合は？", "1/2", "2/3", "1/3", "3/4", "1/3"
