Video Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,"According to the WWF report, by how much has global wildlife decreased in less than half a century?",About 40%,About 60%,About 75%,About 90%,About 60%
1,"Over how many years has the elephant population decreased by one-fifth, according to the report?",5 years,10 years,15 years,20 years,10 years
1,What fraction of sharks and rays are threatened by overfishing?,One-fourth,One-third,Half,Two-thirds,One-third
1,Which organization released the report on global wildlife decline?,United Nations,World Bank,World Wildlife Fund,Greenpeace,World Wildlife Fund
1,What time frame does the report cover for the wildlife decline?,Less than a quarter century,Less than half a century,Less than a century,More than a century,Less than half a century
1,What is not the main causes of rapid extinction mentioned in the report?,Natural disasters,Habitat loss and pollution,Hunting and poaching,Climate change,Natural disasters
1,Which specific animal group is mentioned as having lost a fifth of its population in a decade?,Lions,Elephants,Tigers,Rhinos,Elephants
2,Which company has opened this new type of store without checkout counters?,Walmart,Target,Amazon,Costco,Amazon
2,What do customers use to 'check in' when entering the store?,Fingerprint recognition,Facial recognition,Membership card,Smartphone app,Smartphone app
2,What is the main feature of this store?,All organic products,No checkout counters,24-hour operation,Robot staff for customer service,No checkout counters
2,How does Amazon describe this new store?,Online only,Virtual reality shop,Bricks and mortar,Pop-up store,Bricks and mortar
2,What happens when customers finish shopping?,They pay at a self-checkout,They scan items with their phone,They just walk out,They talk to a cashier,They just walk out
2,How does the store keep track of what customers pick up?,Security cameras,Weight sensors,RFID tags,Not specified,Not specified
2,What concern does the news address about simply walking out with goods?,Beaten by shopkeepers,Being charged automatically,Shoplifting accusation,Forgetting to pay,Shoplifting accusation
3,Where did this cloud appear?,Western Siberia,Eastern Siberia,Northern Siberia,Southern Siberia,Western Siberia
3,What did many people fear when they called emergency services?,Forest fire,Meteor strike,Volcanic eruption,Nuclear attack,Nuclear attack
3,What was the actual cause of this cloud formation?,Thunderstorm,Factory emissions ,Military exercise,Meteor impact,Thunderstorm
3,How did the news describe people's reaction to seeing the cloud?,Curious,Excited,Panicky,Indifferent,Panicky
3,According to the news, what is the shape of the cloud?,Mushroom,Huge potato,Thunderstorm,Tornado,Mushroom
3,How did the cloud appear to be formed?,Rising straight up,Blown sideways,Spiraling,Dissipating quickly,Blown sideways
