ニュース番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
1,このニュースによると、世界の野生生物は過去何十年でどのくらい減少したと言われていますか？,20%,40%,60%,80%,C
1,野生生物の急速な絶滅の原因として挙げられていないものは次のうちどれですか？,環境汚染,資源の乱獲,気候変動,外来種の侵入,D
1,このニュースで特に減少が強調されている動物は次のうちどれですか？,ライオン,キリン,ゾウ,サイ,C
2,このニュースで紹介されている、新しいタイプの grocery store の特徴は何ですか？,レジがない,24時間営業,配達専門,ロボットが接客,A
2,客はどのようにして商品を購入するのですか？,現金で自動支払い機に入れる,クレジットカードを機械に通す,スマートフォンアプリで支払い,店員に声をかける,C
2,この新しいタイプの grocery store を始めた企業はどこですか？,Google,Amazon,Microsoft,Apple,B
3,人々を不安にさせた大きなキノコ雲はどこで目撃されましたか？,アメリカ合衆国,中国,ロシア,オーストラリア,C
3,人々は何を恐れて緊急サービスに電話しましたか？,火山噴火,テロ攻撃,核攻撃,異星人侵略,C
3,このキノコ雲の正体は何でしたか？,火山の噴煙,工場爆発の煙,横方向に吹き飛ばされた雷雲,大規模な山火事の煙,C
4,UNICEFによると、毎年、大気汚染が原因で亡くなる5歳未満の子供は何人ですか？,約60万人,約100万人,約200万人,約500万人,A
4,大気汚染が子供に与える影響として挙げられていないものは次のうちどれですか？,呼吸器疾患,視力低下,脳の発達への悪影響,死亡,B
4,大気汚染の主な原因として挙げられているものは次のうちどれですか？,火山活動,化石燃料の燃焼,太陽フレア,オゾン層の破壊,B
5,ドナルド・トランプ氏の当選後、需要が高まったとされているものは何ですか？,銃,金,避妊薬,防犯グッズ,C
5,女性たちはトランプ政権下で、何が廃止されるのではないかと懸念していますか？,女性参政権,女性の就労,避妊薬の保険適用,女性専用車両,C
5,このニュースで言及されている Women's Health care provider はどこですか？,Planned Parenthood,American Medical Association,World Health Organization,Centers for Disease Control and Prevention,A
6,LinkedIn が開催したイベントは何ですか？,インターンシップ説明会,職場に両親を連れてくる日,キャリアウーマン交流会,起業家育成セミナー,B
6,LinkedIn によると、親の何人に一人が子供の仕事内容を説明できないと言われていますか？,10人に1人,5人に1人,3人に1人,2人に1人,C
6,このニュースは、現代の仕事のどのような変化を反映していますか？,終身雇用,年功序列,柔軟な働き方,男性中心の社会,C
7,元素周期表に追加された新しい元素は何個ですか？,1個,2個,3個,4個,D
7,アジアの研究者によって発見された元素の名前は何ですか？,モスコビウム,テネシン,オガネソン,ニホニウム,D
7,ニホニウムを発見した日本の物理学教授は誰ですか？,益川敏英,湯川秀樹,森田浩介,江崎玲於奈,C
8,このニュースで紹介されている、子供の数学と科学の国際的な学習到達度調査は何年ごとに実施されますか？,毎年,2年ごと,4年ごと,10年ごと,C
8,10歳の子供の科学の成績で1位になった国はどこですか？,日本,韓国,シンガポール,中国,C
8,この調査結果から、アジアの教育について何が言えますか？,英語教育に力を入れている,理数系教育に力を入れている,国際交流を重視している,個性を伸ばす教育をしている,B
9,ワシントンのピザ屋に銃を持った男が押し入った事件の原因は何でしたか？,痴漢撃退,強盗目的,隣人とのトラブル,フェイクニュース,D
9,フェイクニュースでは、そのピザ屋は誰によって運営されているとされていましたか？,ドナルド・トランプ,ヒラリー・クリントン,バーニー・サンダース,ジョージ・W・ブッシュ,B
9,この事件は、フェイクニュースのどのような危険性を示していますか？,経済的な損失,プライバシーの侵害,現実世界での暴力,選挙の不正操作,C
10,天文学者たちは、宇宙からの謎の信号の発生源をどこに見つけましたか？,小さな銀河,ブラックホール,中性子星,超新星爆発,A
10,その信号は何と呼ばれていますか？,ガンマ線バースト,高速電波バースト,X線フレア,宇宙マイクロ波背景放射,B
10,その信号の発生源は地球からどのくらい離れていますか？,300万光年,30億光年,300億光年,3兆光年,B
11,ボブ・ディランは、どの賞を受賞しましたか？,グラミー賞,アカデミー賞,ノーベル文学賞,ピューリッツァー賞,C
11,ボブ・ディランの音楽は、どのようなジャンルに分類されますか？,クラシック音楽,ジャズ,ロックンロール,フォーク,D
11,ボブ・ディランの歌詞は、しばしば何について歌っていますか？,愛と別れ,自然の風景,政治と宗教,日々の暮らし,C
12,2002年にアムステルダムの美術館から盗まれた絵画は何枚ですか？,1枚,2枚,3枚,4枚,B
12,盗まれた絵画を描いた画家は誰ですか？,レオナルド・ダ・ヴィンチ,パブロ・ピカソ,フィンセント・ファン・ゴッホ,クロード・モネ,C
12,絵画を盗んだ犯人は誰と関係があるとされていますか？,テロ組織,イタリアのマフィア,薬物カルテル,国際的な犯罪組織,B
13,中国が公開した新しいステルス戦闘機の名前は何ですか？,F-22,F-35,J-20,Su-57,C
13,中国は、このステルス戦闘機をどの地域の軍事力を強化するために開発しましたか？,大西洋,インド洋,太平洋,北極海,C
13,中国のステルス戦闘機は、どの国のステルス戦闘機に対抗することを目的としていますか？,ロシア,アメリカ,フランス,イギリス,B
14,世界アンチ・ドーピング機構（WADA）が発表した報告書は、どの国のドーピング問題に関するものですか？,中国,ケニア,ロシア,ジャマイカ,C
14,報告書によると、ドーピングに関与していたロシアのアスリートは何人以上ですか？,10人,100人,1000人,10000人,C
14,ドーピングは、夏季、冬季、パラリンピックのどの大会で行われていましたか？,夏季オリンピックのみ,冬季オリンピックのみ,パラリンピックのみ,夏季、冬季、パラリンピックの全て,D
15,エマ・ワトソンのどの行動が、ソーシャルメディアで議論を巻き起こしましたか？,政治的な発言,チャリティー活動への批判,雑誌の表紙での露出の高い服装,映画での役柄,C
15,エマ・ワトソンは、自分が誤解されていると感じていると述べています。彼女は自分を何主義者だと考えていますか？,社会主義者,共産主義者,フェミニスト,環境保護主義者,C
15,エマ・ワトソンは、フェミニズムとは何であると定義していますか？,女性が男性よりも優れていること,女性が社会で支配権を持つこと,女性に選択の自由を与えること,女性が伝統的な役割から解放されること,C
16,ジョージア州の10代の少年は、昏睡状態から目覚めた後、どの言語を話すようになりましたか？,フランス語,ドイツ語,中国語,スペイン語,D
16,少年は、昏睡状態になる前に、スペイン語を流暢に話すことができましたか？,いいえ,はい,不明,話すことができなかった,A
16,少年は、どのようなスポーツをしていて怪我をしましたか？,アメリカンフットボール,バスケットボール,サッカー,野球,C
17,国連総会は、どのような健康上の脅威に取り組むことに合意しましたか？,エボラ出血熱,HIV / AIDS,マラリア,薬剤耐性菌,D
